# tcksift /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_500k.tck /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/wm_fod.mif /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_sift_100k.tck -term_number 100000 -csv /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_iterations.csv -out_mu /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_mu.txt -nthreads 12 -force  (version=3.0.3)
#Iteration,Removed this iteration,Total removed,Remaining,Cost,TD,Mu,Recalculation,
0,0,0,500000,51544.32962719482,35516811.391879849,0.0078805090237292,Start,
1,808,808,499192,50571.078949214869,35424189.634971432,0.0079011137742861434,Non-linearity,
2,3671,4479,495521,46818.762102289802,34909259.791800313,0.0080176593355766167,Non-linearity,
3,4010,8489,491511,43597.122725203648,34354100.463157468,0.0081472240254976715,Non-linearity,
4,4965,13454,486546,40332.413128011314,33662967.713195615,0.0083144942850086959,Non-linearity,
5,4196,17650,482350,37993.422252314806,33098107.158314519,0.0084563915189780382,Non-linearity,
6,4266,21916,478084,35971.065440589759,32554995.421173863,0.0085974686540964945,Non-linearity,
7,4418,26334,473666,33956.746498861758,31951704.852001004,0.0087598002661904532,Non-linearity,
8,2739,29073,470927,32923.374799843026,31626145.218589596,0.0088499736763138544,Non-linearity,
9,3055,32128,467872,31784.173645985829,31245071.907512479,0.0089579103385100892,Non-linearity,
10,4411,36539,463461,30325.39180359992,30716776.779927067,0.0091119766462834494,Non-linearity,
11,3200,39739,460261,29292.87248680335,30316719.012603574,0.0092322177921508684,Non-linearity,
12,1619,41358,458642,28840.989018377088,30140906.594434552,0.0092860694747475946,Non-linearity,
13,3631,44989,455011,27760.586020698698,29679445.441671185,0.0094304508895849889,Non-linearity,
14,1821,46810,453190,27345.828537827809,29502539.624301724,0.0094869986188323516,Non-linearity,
15,3425,50235,449765,26429.64611192228,29081746.533384137,0.0096242690357850168,Non-linearity,
16,1753,51988,448012,26070.120071009867,28912202.202514462,0.009680706807019197,Non-linearity,
17,3395,55383,444617,25202.15902037589,28477780.513990216,0.0098283836596849954,Non-linearity,
18,1791,57174,442826,24870.449281623398,28315375.816525273,0.0098847549995945642,Non-linearity,
19,1955,59129,440871,24453.989023396207,28100348.033609204,0.0099603945236918876,Non-linearity,
20,2970,62099,437901,23880.21733021225,27789283.485374741,0.010071888064875842,Non-linearity,
21,2514,64613,435387,23357.963582259981,27496302.233082108,0.010179207018282174,Non-linearity,
22,2765,67378,432622,22910.493793777587,27237065.607115082,0.010276090556343999,Non-linearity,
23,2126,69504,430496,22488.031062191007,26982231.443051629,0.010373143276104899,Non-linearity,
24,2140,71644,428356,22149.456912080928,26774923.218592934,0.010453458647957456,Non-linearity,
25,2382,74026,425974,21747.613988738744,26525660.586158089,0.010551690192924084,Non-linearity,
26,2623,76649,423351,21349.943802780625,26267750.158796601,0.010655292172941078,Non-linearity,
27,1836,78485,421515,21051.202879148907,26072945.977142625,0.010734903256163263,Non-linearity,
28,2939,81424,418576,20649.485843140443,25796642.893842988,0.010849882824660106,Non-linearity,
29,1418,82842,417158,20418.654160310682,25638604.661278062,0.010916762295200697,Non-linearity,
30,2760,85602,414398,20066.607296696708,25386668.959234528,0.011025099555882678,Non-linearity,
31,722,86324,413676,19961.630480341952,25313934.936598115,0.011056777753787302,Non-linearity,
32,2325,88649,411351,19655.368926276766,25088332.477381043,0.011156203901560174,Non-linearity,
33,1601,90250,409750,19446.220998458524,24930908.997156434,0.0112266485229127,Non-linearity,
34,2233,92483,407517,19163.231563435871,24714023.853489213,0.011325171260133798,Non-linearity,
35,1120,93603,406397,19042.903407064907,24622506.562708192,0.011367264821515087,Non-linearity,
36,1996,95599,404401,18789.565805019018,24421935.512731843,0.011460621232165746,Non-linearity,
37,1980,97579,402421,18566.887041612219,24240068.292459778,0.011546607430757989,Non-linearity,
38,1622,99201,400799,18368.17523645897,24075592.216176324,0.01162548983861504,Non-linearity,
39,2000,101201,398799,18151.823797905836,23893746.492621712,0.011713966780145852,Non-linearity,
40,1919,103120,396880,17949.47984654476,23720722.373132043,0.011799411007180087,Non-linearity,
41,1956,105076,394924,17738.682295335322,23537300.161819749,0.011891361827547764,Non-linearity,
42,1409,106485,393515,17592.2733174028,23410083.372388177,0.011955982736820308,Non-linearity,
43,1799,108284,391716,17418.545385090685,23256387.589540772,0.012034996905266318,Non-linearity,
44,763,109047,390953,17348.268844099013,23195032.141838364,0.012066831852452607,Non-linearity,
45,2494,111541,388459,17087.608626381894,22954046.228202157,0.012193516989780813,Non-linearity,
46,827,112368,387632,17021.913276617928,22894695.524723344,0.012225126661568886,Non-linearity,
47,1886,114254,385746,16847.039098082878,22730787.750995927,0.012313279932655834,Non-linearity,
48,679,114933,385067,16788.845722901289,22677212.419786744,0.012342370282847546,Non-linearity,
49,2352,117285,382715,16564.094034474438,22456796.525245003,0.012463511986367058,Non-linearity,
50,440,117725,382275,16528.464401846599,22423528.961641602,0.012482002861663158,Non-linearity,
51,2813,120538,379462,16285.631003816874,22177667.916421227,0.012620378018220531,Non-linearity,
52,750,121288,378712,16222.245855964884,22116144.955963425,0.012655485538962664,Non-linearity,
53,1191,122479,377521,16127.903796935692,22022838.126200967,0.012709104569715125,Non-linearity,
54,1202,123681,376319,16023.066789947259,21915821.760576539,0.012771163943817096,Non-linearity,
55,994,124675,375325,15943.310697565155,21834122.426848702,0.012818951327470116,Non-linearity,
56,1270,125945,374055,15840.671415309635,21727140.528636269,0.012882070344180945,Non-linearity,
57,1088,127033,372967,15759.972904649638,21642553.234727196,0.012932418353426553,Non-linearity,
58,1222,128255,371745,15662.194407925796,21538698.719277672,0.012994775418688046,Non-linearity,
59,1504,129759,370241,15551.100053919226,21416738.325640969,0.013068775852422922,Non-linearity,
60,814,130573,369427,15478.871960899118,21337045.060377412,0.013117587363938692,Non-linearity,
61,1124,131697,368303,15401.984887512219,21254396.171435647,0.013168595824140589,Non-linearity,
62,1718,133415,366585,15277.679162929549,21115770.827181153,0.013255047848289285,Non-linearity,
63,1133,134548,365452,15197.788617398473,21026709.269489579,0.013311191450862321,Non-linearity,
64,959,135507,364493,15125.52350314121,20945299.636735253,0.013362929035252692,Non-linearity,
65,685,136192,363808,15080.989124336207,20895908.031062417,0.013394514957269682,Non-linearity,
66,814,137006,362994,15026.400725404792,20834019.9741643,0.013434303750062727,Non-linearity,
67,1224,138230,361770,14939.695097805325,20732599.41671782,0.013500022213428107,Non-linearity,
68,1185,139415,360585,14853.837931888249,20631767.404959016,0.013565999808650576,Non-linearity,
69,210,139625,360375,14839.971278721681,20616456.998225503,0.013576074331874187,Non-linearity,
70,247,139872,360128,14826.726002194158,20601626.896783166,0.013585847082372928,Non-linearity,
71,923,140795,359205,14765.093859028246,20529467.078698449,0.013633600501895835,Non-linearity,
72,920,141715,358285,14704.967292936173,20458003.334170632,0.013681225293394154,Non-linearity,
73,868,142583,357417,14646.251708789106,20387973.925229363,0.013728218100251884,Non-linearity,
74,1238,143821,356179,14563.048569815772,20286369.701950364,0.013796975840427874,Non-linearity,
75,1044,144865,355135,14492.344931373951,20199615.953350358,0.013856231391437612,Non-linearity,
76,306,145171,354829,14475.494749671014,20180043.537016205,0.013869670407518924,Non-linearity,
77,1443,146614,353386,14379.150468330332,20059761.114963822,0.013952835782227209,Non-linearity,
78,771,147385,352615,14331.780489844492,20001128.274658494,0.013993738194380744,Non-linearity,
79,1536,148921,351079,14231.826617327779,19873365.934230141,0.014083701452188837,Non-linearity,
80,668,149589,350411,14196.292605587081,19829557.450304322,0.014114815893861602,Non-linearity,
81,607,150196,349804,14161.238327814777,19786088.956948571,0.014145825042877104,Non-linearity,
82,1272,151468,348532,14080.225920822522,19681471.590284638,0.014221017538442579,Non-linearity,
83,192,151660,348340,14070.29354308224,19669322.606040291,0.014229801314146175,Non-linearity,
84,550,152210,347790,14040.48444183032,19631428.403825097,0.014257268850251454,Non-linearity,
85,592,152802,347198,14005.822637136376,19586881.310797028,0.014289694629104174,Non-linearity,
86,872,153674,346326,13952.511775447798,19516647.132585816,0.014341118675065869,Non-linearity,
87,1082,154756,345244,13885.635782651883,19426906.081118874,0.014407366335076098,Non-linearity,
88,252,155008,344992,13871.063705120592,19408370.456120782,0.014421125838492465,Non-linearity,
89,859,155867,344133,13823.843344854591,19345414.904311471,0.014468056335427502,Non-linearity,
90,857,156724,343276,13769.798128281649,19272336.612486176,0.014522917396869329,Non-linearity,
91,850,157574,342426,13725.155170074795,19212369.53812056,0.014568247405008916,Non-linearity,
92,383,157957,342043,13705.311260224194,19186435.758393578,0.014587938906023865,Non-linearity,
93,555,158512,341488,13676.569926196738,19147957.122138314,0.014617253991246713,Non-linearity,
94,1558,160070,339930,13579.603913684756,19010622.991072945,0.014722850103293769,Non-linearity,
95,296,160366,339634,13564.960428173286,18991775.74522429,0.014737460910582784,Non-linearity,
96,628,160994,339006,13532.414257874674,18947877.926765732,0.014771604173806945,Non-linearity,
97,483,161477,338523,13509.694352985363,18917078.312561326,0.014795654384004117,Non-linearity,
98,670,162147,337853,13472.12649943768,18864827.140144639,0.014836634896706042,Non-linearity,
99,831,162978,337022,13429.670928362128,18805108.927512459,0.014883750673643193,Non-linearity,
100,546,163524,336476,13403.14745713929,18768252.584310822,0.014912978787474843,Non-linearity,
101,259,163783,336217,13390.441760814861,18750896.113529496,0.01492678275071053,Non-linearity,
102,651,164434,335566,13355.02266308262,18700764.167841248,0.014966797621517024,Non-linearity,
103,831,165265,334735,13311.464898478009,18638132.020898156,0.015017092504440234,Non-linearity,
104,707,165972,334028,13274.661405950845,18585056.521990113,0.015059978555170201,Non-linearity,
105,1136,167108,332892,13215.18137683544,18497743.229155831,0.015131064865612278,Non-linearity,
106,890,167998,332002,13170.933924952804,18433154.633460335,0.015184083149811628,Non-linearity,
107,316,168314,331686,13156.475033626461,18412908.304868035,0.015200779150885102,Non-linearity,
108,710,169024,330976,13120.910710308224,18361027.362792306,0.015243730491627134,Non-linearity,
109,713,169737,330263,13086.136512300001,18310078.386371903,0.015286147156864074,Non-linearity,
110,231,169968,330032,13076.18957883937,18295807.817465119,0.015298070216971485,Non-linearity,
111,346,170314,329686,13058.521991145653,18270094.268160157,0.015319600904061611,Non-linearity,
112,350,170664,329336,13041.979144718727,18245687.319812112,0.015340093675938289,Non-linearity,
113,624,171288,328712,13009.029990290201,18195824.480343156,0.015382130827331366,Non-linearity,
114,239,171527,328473,12998.612839617244,18180523.972529702,0.015395076241515621,Non-linearity,
115,1234,172761,327239,12936.149415178365,18083601.853069596,0.015477588753718732,Non-linearity,
116,478,173239,326761,12913.240321653304,18049149.303658776,0.015507132660876159,Non-linearity,
117,376,173615,326385,12896.852731033476,18024883.284924798,0.01552800915509312,Non-linearity,
118,591,174206,325794,12869.850652244324,17983728.639793687,0.01556354403882999,Non-linearity,
119,338,174544,325456,12854.797947898116,17961072.941483788,0.015583175547455634,Non-linearity,
120,105,174649,325351,12850.05916622063,17954068.760875039,0.015589254803219099,Non-linearity,
121,604,175253,324747,12821.7883399926,17910257.706220917,0.015627388352462426,Non-linearity,
122,287,175540,324460,12808.261602962577,17889590.979934983,0.015645441697449834,Non-linearity,
123,235,175775,324225,12797.644784184604,17873535.055962853,0.015659496109272572,Non-linearity,
